no,maternal_plant,maternal_plant_code,country_orgin,seed_color,population,warm_strat_date,trait_measure_date,germ_in_CS,germination_11-29,germination_12-1,germination_12-3,germination_12-5,germination_12-8,germination_12-10,days_to_germinate,leaf_height_cm,rooting_depth_cm,root_tip_count,no_primary_roots,no_leaves,Column5,Column6
76,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
77,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
78,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
79,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
80,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,1,1,1,1,,4,0.5,1,1,1,,
81,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
82,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,1,1,1,1,1,,5.8,2.1,5,1,1,,
83,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,1,1,1,1,1,,5.4,3,2,2,1,,
84,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,1,1,1,1,1,,5.7,3.1,1,1,1,,
85,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,5.5,2,6,1,1,,
86,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
87,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,1,1,1,1,1,,4.6,2.3,2,1,1,,
88,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
89,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,1,1,1,1,1,,5.2,3.7,4,1,1,,
90,221,I,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,1,1,1,1,1,,7,2,1,1,1,,
91,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
92,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
93,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
94,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
95,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
96,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
97,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
98,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
99,239,J,Turkey,All green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
100,239,J,Turkey,All green,PI 689091,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
