"","no","maternal_plant","maternal_plant_code","country_origin","seed_color","population","warm_strat_date","trait_measure_date","germ_in_CS","germination_11.29","germination_12.1","germination_12.3","germination_12.5","germination_12.8","germination_12.10","days_to_germinate","leaf_height_cm","rooting_depth_cm","root_tip_count","no_primary_roots","no_leaves","sample","germ_date","trt"
"61",61,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,5.7,4.3,2,1,1,"s61G",NA,"G 61"
"62",62,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s62G",NA,"G 62"
"63",63,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.5,4,7,1,1,"s63G","11-29-2021","G 63"
"64",64,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,7.3,3.1,5,1,2,"s64G","11-29-2021","G 64"
"65",65,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.8,3.5,2,1,1,"s65G","11-29-2021","G 65"
"66",66,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.7,3.5,2,1,1,"s66G","11-29-2021","G 66"
"67",67,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,8.2,3,3,1,1,"s67G","11-29-2021","G 67"
"68",68,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.5,3,3,1,1,"s68G","11-29-2021","G 68"
"69",69,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6,4,2,1,2,"s69G","11-29-2021","G 69"
"70",70,140,"G","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,8.1,3.5,3,1,1,"s70G","11-29-2021","G 70"
"71",71,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s71H",NA,"H 71"
"72",72,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s72H",NA,"H 72"
"73",73,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s73H",NA,"H 73"
"74",74,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s74H",NA,"H 74"
"75",75,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s75H",NA,"H 75"
"76",76,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s76H",NA,"H 76"
"77",77,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s77H",NA,"H 77"
"78",78,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s78H",NA,"H 78"
"79",79,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s79H",NA,"H 79"
"80",80,212,"H","Turkey","All brown","PI 689090","11/29/2021","12/10/2021",0,0,0,1,1,1,1,5,4,0.5,1,1,1,"s80H","12-03-2021","H 80"
"81",81,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s81I",NA,"I 81"
"82",82,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.8,2.1,5,1,1,"s82I","12-01-2021","I 82"
"83",83,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.4,3,2,2,1,"s83I","12-01-2021","I 83"
"84",84,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.7,3.1,1,1,1,"s84I","12-01-2021","I 84"
"85",85,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,5.5,2,6,1,1,"s85I","11-29-2021","I 85"
"86",86,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s86I",NA,"I 86"
"87",87,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,4.6,2.3,2,1,1,"s87I","12-01-2021","I 87"
"88",88,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s88I",NA,"I 88"
"89",89,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.2,3.7,4,1,1,"s89I","12-01-2021","I 89"
"90",90,221,"I","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,7,2,1,1,1,"s90I","12-01-2021","I 90"
"91",91,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s91J",NA,"J 91"
"92",92,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s92J",NA,"J 92"
"93",93,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s93J",NA,"J 93"
"94",94,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s94J",NA,"J 94"
"95",95,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s95J",NA,"J 95"
"96",96,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s96J",NA,"J 96"
"97",97,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s97J",NA,"J 97"
"98",98,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s98J",NA,"J 98"
"99",99,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s99J",NA,"J 99"
"100",100,239,"J","Turkey","All green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s100J",NA,"J 100"
